tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
4 RED - 4 BLUE,4 RED - 4 BLUE,-11.81,2.44,-11.28
4 RED - 3 BLUE,4 RED - 3 BLUE,-11.34,2.28,-12.36
4 RED - 2 BLUE,4 RED - 2 BLUE,-10.11,2.56,-13.72
4 RED - 1 BLUE,4 RED - 1 BLUE,-10.05,6.2,-13.41
4 RED - Jester,4 RED - Jester,-9.22,14.2,-13.95
3 RED - 2 RED,3 RED - 2 RED,-15.2,2.48,20.26
3 RED - 1 RED,3 RED - 1 RED,-14.8,2.88,18.39
3 RED - 13 BLUE,3 RED - 13 BLUE,-14.63,-5.84,-3.31
3 RED - 12 BLUE,3 RED - 12 BLUE,-14.8,-5.44,-4.31
3 RED - 11 BLUE,3 RED - 11 BLUE,-14.1,-5.4,-5.48
3 RED - 10 BLUE,3 RED - 10 BLUE,-13.65,-3.32,-7.73
3 RED - 9 BLUE,3 RED - 9 BLUE,-13.16,-3.2,-8.09
3 RED - 8 BLUE,3 RED - 8 BLUE,-12.81,-2.36,-10.19
3 RED - 7 BLUE,3 RED - 7 BLUE,-12.74,-1.16,-10.65
3 RED - 6 BLUE,3 RED - 6 BLUE,-10.93,-0.92,-11.76
3 RED - 5 BLUE,3 RED - 5 BLUE,-11.82,0.76,-10.69
3 RED - 4 BLUE,3 RED - 4 BLUE,-11.31,1.64,-12.17
3 RED - 3 BLUE,3 RED - 3 BLUE,-10.35,1.96,-13.29
3 RED - 2 BLUE,3 RED - 2 BLUE,-10.6,4.32,-13.05
3 RED - 1 BLUE,3 RED - 1 BLUE,-10.11,5.52,-13.35
3 RED - Jester,3 RED - Jester,-8.77,14.92,-13.77
2 RED - 1 RED,2 RED - 1 RED,-15.5,2.0,21.4
2 RED - 13 BLUE,2 RED - 13 BLUE,-14.69,-5.24,-3.27
2 RED - 12 BLUE,2 RED - 12 BLUE,-13.83,-6.24,-6.09
2 RED - 11 BLUE,2 RED - 11 BLUE,-13.98,-3.92,-6.06
2 RED - 10 BLUE,2 RED - 10 BLUE,-13.77,-3.88,-6.9
2 RED - 9 BLUE,2 RED - 9 BLUE,-12.54,-3.0,-8.61
2 RED - 8 BLUE,2 RED - 8 BLUE,-12.5,-1.36,-9.93
2 RED - 7 BLUE,2 RED - 7 BLUE,-12.32,-1.16,-9.33
2 RED - 6 BLUE,2 RED - 6 BLUE,-11.92,-0.92,-10.63
2 RED - 5 BLUE,2 RED - 5 BLUE,-11.63,0.76,-11.75
2 RED - 4 BLUE,2 RED - 4 BLUE,-11.21,-0.2,-12.72
2 RED - 3 BLUE,2 RED - 3 BLUE,-10.46,1.68,-12.87
2 RED - 2 BLUE,2 RED - 2 BLUE,-10.15,3.8,-13.41
2 RED - 1 BLUE,2 RED - 1 BLUE,-9.87,3.72,-13.74
2 RED - Jester,2 RED - Jester,-8.77,12.64,-14.34
1 RED - 13 BLUE,1 RED - 13 BLUE,-13.82,-4.64,-2.95
1 RED - 12 BLUE,1 RED - 12 BLUE,-13.68,-5.08,-5.47
1 RED - 11 BLUE,1 RED - 11 BLUE,-13.31,-4.76,-6.45
1 RED - 10 BLUE,1 RED - 10 BLUE,-13.09,-4.36,-8.11
1 RED - 9 BLUE,1 RED - 9 BLUE,-12.59,-4.32,-9.05
1 RED - 8 BLUE,1 RED - 8 BLUE,-12.34,-2.92,-9.63
1 RED - 7 BLUE,1 RED - 7 BLUE,-11.2,-0.96,-10.98
1 RED - 6 BLUE,1 RED - 6 BLUE,-11.21,-1.12,-11.19
1 RED - 5 BLUE,1 RED - 5 BLUE,-10.28,-0.12,-12.19
1 RED - 4 BLUE,1 RED - 4 BLUE,-10.85,0.88,-12.67
1 RED - 3 BLUE,1 RED - 3 BLUE,-9.95,0.68,-13.18
1 RED - 2 BLUE,1 RED - 2 BLUE,-10.24,2.48,-13.55
1 RED - 1 BLUE,1 RED - 1 BLUE,-10.2,4.16,-13.56
1 RED - Jester,1 RED - Jester,-8.71,13.08,-14.23
13 BLUE - 12 BLUE,13 BLUE - 12 BLUE,-0.55,-7.6,-13.52
13 BLUE - 11 BLUE,13 BLUE - 11 BLUE,1.53,-8.12,-15.61
13 BLUE - 10 BLUE,13 BLUE - 10 BLUE,-0.24,-8.56,-16.09
13 BLUE - 9 BLUE,13 BLUE - 9 BLUE,-0.61,-8.44,-16.69
13 BLUE - 8 BLUE,13 BLUE - 8 BLUE,0.54,-8.24,-17.09
13 BLUE - 7 BLUE,13 BLUE - 7 BLUE,0.85,-8.88,-17.65
13 BLUE - 6 BLUE,13 BLUE - 6 BLUE,0.57,-8.8,-17.84
13 BLUE - 5 BLUE,13 BLUE - 5 BLUE,1.07,-8.88,-18.3
13 BLUE - 4 BLUE,13 BLUE - 4 BLUE,2.02,-8.88,-18.85
13 BLUE - 3 BLUE,13 BLUE - 3 BLUE,1.51,-8.72,-19.0
13 BLUE - 2 BLUE,13 BLUE - 2 BLUE,1.56,-8.48,-19.27
13 BLUE - 1 BLUE,13 BLUE - 1 BLUE,2.34,-8.4,-19.44
13 BLUE - 13 GREEN,13 BLUE - 13 GREEN,-10.24,-6.6,-3.82
13 BLUE - 12 GREEN,13 BLUE - 12 GREEN,-8.05,-6.08,-5.83
13 BLUE - 11 GREEN,13 BLUE - 11 GREEN,-7.26,-6.72,-8.75
13 BLUE - 10 GREEN,13 BLUE - 10 GREEN,-6.34,-6.76,-9.04
13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-5.4,-5.92,-10.29
13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-4.71,-5.0,-11.42
13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-3.23,-5.96,-12.82
13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-2.3,-6.12,-14.46
13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-1.65,-5.88,-15.26
13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,-0.99,-5.72,-15.18
13 BLUE - 3 GREEN,13 BLUE - 3 GREEN,0.28,-4.68,-15.74
13 BLUE - 2 GREEN,13 BLUE - 2 GREEN,1.75,-5.88,-16.48
13 BLUE - 1 GREEN,13 BLUE - 1 GREEN,0.21,-4.52,-16.39
13 BLUE - Jester,13 BLUE - Jester,4.13,-8.12,-19.53
12 BLUE - 11 BLUE,12 BLUE - 11 BLUE,3.06,-8.0,-15.78
12 BLUE - 10 BLUE,12 BLUE - 10 BLUE,2.71,-8.16,-15.77
12 BLUE - 9 BLUE,12 BLUE - 9 BLUE,3.22,-8.36,-16.67
12 BLUE - 8 BLUE,12 BLUE - 8 BLUE,2.83,-8.24,-17.18
12 BLUE - 7 BLUE,12 BLUE - 7 BLUE,1.75,-8.8,-17.53
12 BLUE - 6 BLUE,12 BLUE - 6 BLUE,2.58,-8.4,-18.23
12 BLUE - 5 BLUE,12 BLUE - 5 BLUE,1.88,-8.36,-18.74
12 BLUE - 4 BLUE,12 BLUE - 4 BLUE,3.44,-8.52,-18.83
12 BLUE - 3 BLUE,12 BLUE - 3 BLUE,2.87,-9.0,-19.21
12 BLUE - 2 BLUE,12 BLUE - 2 BLUE,3.61,-8.72,-19.19
12 BLUE - 1 BLUE,12 BLUE - 1 BLUE,3.79,-8.76,-19.47
12 BLUE - 12 GREEN,12 BLUE - 12 GREEN,-7.38,-6.64,-7.82
12 BLUE - 11 GREEN,12 BLUE - 11 GREEN,-6.51,-6.2,-9.3
12 BLUE - 10 GREEN,12 BLUE - 10 GREEN,-5.14,-7.04,-11.55
12 BLUE - 9 GREEN,12 BLUE - 9 GREEN,-4.21,-6.8,-11.91
12 BLUE - 8 GREEN,12 BLUE - 8 GREEN,-3.98,-5.88,-13.33
12 BLUE - 7 GREEN,12 BLUE - 7 GREEN,-1.73,-5.68,-13.43
12 BLUE - 6 GREEN,12 BLUE - 6 GREEN,-1.46,-5.88,-15.4
12 BLUE - 5 GREEN,12 BLUE - 5 GREEN,0.87,-6.28,-15.66
12 BLUE - 4 GREEN,12 BLUE - 4 GREEN,0.29,-6.28,-15.62
12 BLUE - 3 GREEN,12 BLUE - 3 GREEN,1.43,-6.52,-16.22
12 BLUE - 2 GREEN,12 BLUE - 2 GREEN,3.31,-6.36,-16.79
12 BLUE - 1 GREEN,12 BLUE - 1 GREEN,2.65,-5.32,-17.66
12 BLUE - Jester,12 BLUE - Jester,5.87,-8.24,-19.56
11 BLUE - 10 BLUE,11 BLUE - 10 BLUE,4.84,-7.68,-16.31
11 BLUE - 9 BLUE,11 BLUE - 9 BLUE,5.66,-8.08,-16.69
11 BLUE - 8 BLUE,11 BLUE - 8 BLUE,4.91,-8.16,-17.24
11 BLUE - 7 BLUE,11 BLUE - 7 BLUE,3.67,-8.48,-17.48
11 BLUE - 6 BLUE,11 BLUE - 6 BLUE,3.73,-9.04,-18.32
11 BLUE - 5 BLUE,11 BLUE - 5 BLUE,4.72,-8.88,-18.62
11 BLUE - 4 BLUE,11 BLUE - 4 BLUE,6.18,-9.0,-18.75
11 BLUE - 3 BLUE,11 BLUE - 3 BLUE,5.42,-8.96,-19.18
11 BLUE - 2 BLUE,11 BLUE - 2 BLUE,4.72,-8.88,-19.12
11 BLUE - 1 BLUE,11 BLUE - 1 BLUE,5.59,-8.96,-19.54
11 BLUE - 11 GREEN,11 BLUE - 11 GREEN,-4.94,-6.84,-10.5
11 BLUE - 10 GREEN,11 BLUE - 10 GREEN,-4.54,-6.36,-11.51
11 BLUE - 9 GREEN,11 BLUE - 9 GREEN,-3.21,-7.2,-13.28
11 BLUE - 8 GREEN,11 BLUE - 8 GREEN,-2.51,-7.36,-14.3
11 BLUE - 7 GREEN,11 BLUE - 7 GREEN,-0.97,-6.52,-14.12
11 BLUE - 6 GREEN,11 BLUE - 6 GREEN,0.03,-6.6,-15.18
11 BLUE - 5 GREEN,11 BLUE - 5 GREEN,0.95,-6.32,-16.32
11 BLUE - 4 GREEN,11 BLUE - 4 GREEN,1.41,-7.08,-15.81
11 BLUE - 3 GREEN,11 BLUE - 3 GREEN,3.08,-6.76,-16.94
11 BLUE - 2 GREEN,11 BLUE - 2 GREEN,3.8,-6.68,-16.95
11 BLUE - 1 GREEN,11 BLUE - 1 GREEN,4.12,-6.44,-18.03
11 BLUE - Jester,11 BLUE - Jester,7.37,-8.96,-19.74
10 BLUE - 9 BLUE,10 BLUE - 9 BLUE,6.49,-7.8,-17.02
10 BLUE - 8 BLUE,10 BLUE - 8 BLUE,5.95,-8.48,-17.24
10 BLUE - 7 BLUE,10 BLUE - 7 BLUE,6.16,-8.12,-17.77
10 BLUE - 6 BLUE,10 BLUE - 6 BLUE,6.74,-8.8,-18.44
10 BLUE - 5 BLUE,10 BLUE - 5 BLUE,6.07,-8.48,-18.8
10 BLUE - 4 BLUE,10 BLUE - 4 BLUE,6.29,-8.96,-18.88
10 BLUE - 3 BLUE,10 BLUE - 3 BLUE,6.41,-9.12,-19.24
10 BLUE - 2 BLUE,10 BLUE - 2 BLUE,6.09,-8.88,-19.21
10 BLUE - 1 BLUE,10 BLUE - 1 BLUE,6.95,-9.24,-19.6
10 BLUE - 10 GREEN,10 BLUE - 10 GREEN,-3.57,-7.08,-12.99
10 BLUE - 9 GREEN,10 BLUE - 9 GREEN,-2.38,-6.76,-13.94
10 BLUE - 8 GREEN,10 BLUE - 8 GREEN,-1.09,-7.32,-14.52
10 BLUE - 7 GREEN,10 BLUE - 7 GREEN,-1.12,-6.64,-15.08
10 BLUE - 6 GREEN,10 BLUE - 6 GREEN,0.55,-7.48,-15.6
10 BLUE - 5 GREEN,10 BLUE - 5 GREEN,2.89,-7.36,-16.98
10 BLUE - 4 GREEN,10 BLUE - 4 GREEN,4.02,-6.88,-17.53
10 BLUE - 3 GREEN,10 BLUE - 3 GREEN,4.28,-7.12,-17.97
10 BLUE - 2 GREEN,10 BLUE - 2 GREEN,4.98,-6.88,-18.0
10 BLUE - 1 GREEN,10 BLUE - 1 GREEN,5.94,-6.92,-18.12
10 BLUE - Jester,10 BLUE - Jester,8.03,-9.08,-19.77
9 BLUE - 8 BLUE,9 BLUE - 8 BLUE,8.2,-7.72,-17.04
9 BLUE - 7 BLUE,9 BLUE - 7 BLUE,7.55,-8.2,-17.94
9 BLUE - 6 BLUE,9 BLUE - 6 BLUE,8.1,-8.68,-18.48
9 BLUE - 5 BLUE,9 BLUE - 5 BLUE,8.12,-8.6,-18.67
9 BLUE - 4 BLUE,9 BLUE - 4 BLUE,7.11,-8.56,-18.92
9 BLUE - 3 BLUE,9 BLUE - 3 BLUE,8.17,-9.28,-19.34
9 BLUE - 2 BLUE,9 BLUE - 2 BLUE,8.25,-9.16,-19.58
9 BLUE - 1 BLUE,9 BLUE - 1 BLUE,9.48,-9.52,-19.74
9 BLUE - 9 GREEN,9 BLUE - 9 GREEN,-0.77,-7.2,-15.14
9 BLUE - 8 GREEN,9 BLUE - 8 GREEN,0.4,-7.12,-15.14
9 BLUE - 7 GREEN,9 BLUE - 7 GREEN,1.02,-7.24,-15.77
9 BLUE - 6 GREEN,9 BLUE - 6 GREEN,2.51,-7.24,-16.35
9 BLUE - 5 GREEN,9 BLUE - 5 GREEN,3.81,-7.12,-17.59
9 BLUE - 4 GREEN,9 BLUE - 4 GREEN,5.73,-7.24,-17.85
9 BLUE - 3 GREEN,9 BLUE - 3 GREEN,6.24,-7.56,-17.61
9 BLUE - 2 GREEN,9 BLUE - 2 GREEN,6.26,-7.48,-18.12
9 BLUE - 1 GREEN,9 BLUE - 1 GREEN,6.85,-7.4,-18.39
9 BLUE - Jester,9 BLUE - Jester,9.8,-9.36,-19.84
8 BLUE - 7 BLUE,8 BLUE - 7 BLUE,8.38,-7.8,-17.21
8 BLUE - 6 BLUE,8 BLUE - 6 BLUE,10.12,-8.48,-18.53
8 BLUE - 5 BLUE,8 BLUE - 5 BLUE,8.44,-8.28,-18.47
8 BLUE - 4 BLUE,8 BLUE - 4 BLUE,8.36,-8.88,-18.92
8 BLUE - 3 BLUE,8 BLUE - 3 BLUE,10.57,-9.0,-19.28
8 BLUE - 2 BLUE,8 BLUE - 2 BLUE,9.95,-9.4,-19.6
8 BLUE - 1 BLUE,8 BLUE - 1 BLUE,9.68,-9.28,-19.63
8 BLUE - 8 GREEN,8 BLUE - 8 GREEN,1.36,-7.04,-16.78
8 BLUE - 7 GREEN,8 BLUE - 7 GREEN,3.23,-7.2,-16.73
8 BLUE - 6 GREEN,8 BLUE - 6 GREEN,3.08,-7.72,-17.22
8 BLUE - 5 GREEN,8 BLUE - 5 GREEN,5.52,-7.6,-17.79
8 BLUE - 4 GREEN,8 BLUE - 4 GREEN,5.4,-8.2,-17.9
8 BLUE - 3 GREEN,8 BLUE - 3 GREEN,7.36,-7.72,-18.61
8 BLUE - 2 GREEN,8 BLUE - 2 GREEN,7.99,-7.44,-18.67
8 BLUE - 1 GREEN,8 BLUE - 1 GREEN,8.65,-8.24,-19.13
8 BLUE - Jester,8 BLUE - Jester,11.69,-9.44,-19.86
7 BLUE - 6 BLUE,7 BLUE - 6 BLUE,10.9,-8.6,-18.29
7 BLUE - 5 BLUE,7 BLUE - 5 BLUE,10.33,-8.92,-18.65
7 BLUE - 4 BLUE,7 BLUE - 4 BLUE,11.83,-8.68,-19.01
7 BLUE - 3 BLUE,7 BLUE - 3 BLUE,10.6,-9.32,-19.41
7 BLUE - 2 BLUE,7 BLUE - 2 BLUE,12.69,-9.72,-19.83
7 BLUE - 1 BLUE,7 BLUE - 1 BLUE,10.63,-9.52,-19.71
7 BLUE - 7 GREEN,7 BLUE - 7 GREEN,4.72,-7.36,-17.54
7 BLUE - 6 GREEN,7 BLUE - 6 GREEN,5.68,-7.8,-18.08
7 BLUE - 5 GREEN,7 BLUE - 5 GREEN,6.26,-8.28,-18.45
7 BLUE - 4 GREEN,7 BLUE - 4 GREEN,7.46,-7.72,-18.57
7 BLUE - 3 GREEN,7 BLUE - 3 GREEN,7.76,-8.28,-18.51
7 BLUE - 2 GREEN,7 BLUE - 2 GREEN,9.2,-8.28,-19.01
7 BLUE - 1 GREEN,7 BLUE - 1 GREEN,9.37,-8.4,-19.19
7 BLUE - Jester,7 BLUE - Jester,12.32,-9.6,-19.9
6 BLUE - 5 BLUE,6 BLUE - 5 BLUE,13.04,-8.72,-18.75
6 BLUE - 4 BLUE,6 BLUE - 4 BLUE,14.13,-9.32,-19.3
6 BLUE - 3 BLUE,6 BLUE - 3 BLUE,12.46,-8.8,-19.43
6 BLUE - 2 BLUE,6 BLUE - 2 BLUE,12.65,-9.4,-19.48
6 BLUE - 1 BLUE,6 BLUE - 1 BLUE,11.8,-9.48,-19.7
6 BLUE - 6 GREEN,6 BLUE - 6 GREEN,5.62,-7.88,-17.99
6 BLUE - 5 GREEN,6 BLUE - 5 GREEN,7.63,-8.16,-18.49
6 BLUE - 4 GREEN,6 BLUE - 4 GREEN,8.09,-8.24,-18.68
6 BLUE - 3 GREEN,6 BLUE - 3 GREEN,9.04,-8.68,-19.21
6 BLUE - 2 GREEN,6 BLUE - 2 GREEN,10.44,-9.08,-19.14
6 BLUE - 1 GREEN,6 BLUE - 1 GREEN,11.88,-8.76,-19.15
6 BLUE - Jester,6 BLUE - Jester,13.4,-9.72,-19.93
5 BLUE - 4 BLUE,5 BLUE - 4 BLUE,13.24,-8.32,-18.87
5 BLUE - 3 BLUE,5 BLUE - 3 BLUE,13.35,-8.88,-19.22
5 BLUE - 2 BLUE,5 BLUE - 2 BLUE,14.04,-9.48,-19.55
5 BLUE - 1 BLUE,5 BLUE - 1 BLUE,14.52,-9.44,-19.71
5 BLUE - 5 GREEN,5 BLUE - 5 GREEN,9.0,-8.24,-18.64
5 BLUE - 4 GREEN,5 BLUE - 4 GREEN,10.18,-8.92,-19.27
5 BLUE - 3 GREEN,5 BLUE - 3 GREEN,11.43,-8.8,-19.15
5 BLUE - 2 GREEN,5 BLUE - 2 GREEN,12.94,-9.24,-19.5
5 BLUE - 1 GREEN,5 BLUE - 1 GREEN,12.63,-8.88,-19.42
5 BLUE - Jester,5 BLUE - Jester,15.14,-9.8,-19.95
4 BLUE - 3 BLUE,4 BLUE - 3 BLUE,14.89,-8.88,-19.3
4 BLUE - 2 BLUE,4 BLUE - 2 BLUE,15.55,-9.36,-19.49
4 BLUE - 1 BLUE,4 BLUE - 1 BLUE,15.3,-9.36,-19.63
4 BLUE - 4 GREEN,4 BLUE - 4 GREEN,11.29,-8.44,-19.09
4 BLUE - 3 GREEN,4 BLUE - 3 GREEN,11.81,-9.0,-19.61
4 BLUE - 2 GREEN,4 BLUE - 2 GREEN,13.02,-8.84,-19.64
4 BLUE - 1 GREEN,4 BLUE - 1 GREEN,14.3,-9.4,-19.8
4 BLUE - Jester,4 BLUE - Jester,16.07,-9.88,-19.97
3 BLUE - 2 BLUE,3 BLUE - 2 BLUE,16.69,-9.24,-19.57
3 BLUE - 1 BLUE,3 BLUE - 1 BLUE,17.19,-9.68,-19.75
3 BLUE - 3 GREEN,3 BLUE - 3 GREEN,12.9,-9.04,-19.35
3 BLUE - 2 GREEN,3 BLUE - 2 GREEN,14.98,-9.52,-19.86
3 BLUE - 1 GREEN,3 BLUE - 1 GREEN,15.64,-9.52,-19.77
3 BLUE - Jester,3 BLUE - Jester,17.39,-10.0,-20.0
2 BLUE - 1 BLUE,2 BLUE - 1 BLUE,18.02,-9.6,-19.76
2 BLUE - 2 GREEN,2 BLUE - 2 GREEN,16.07,-9.48,-19.74
2 BLUE - 1 GREEN,2 BLUE - 1 GREEN,16.82,-9.64,-19.81
2 BLUE - Jester,2 BLUE - Jester,18.17,-10.0,-20.0
1 BLUE - 1 GREEN,1 BLUE - 1 GREEN,17.58,-9.88,-19.91
1 BLUE - Jester,1 BLUE - Jester,19.22,-10.0,-20.0
Jester - Jester,Jester - Jester,20.0,-10.0,-20.0
